country,state,city,station,last_update,latitude,longitude,pollutant_id,min_value,max_value,avg_value,range,aqi_value,air_quality,date,time
India,Maharashtra,Mumbai,"Kherwadi_Bandra East, Mumbai - MPCB",2025-07-20 18:00:00,19.0632143,72.8456324,CO,1.0,12.0,2.0,11.0,100.0,Satisfactory,2025-07-20,18:00:00
India,Maharashtra,Mumbai,"Khindipada-Bhandup West, Mumbai - IITM",2025-07-20 18:00:00,19.1653323,72.922099,NH3,2.0,3.0,2.0,1.0,0.0,Good,2025-07-20,18:00:00
India,Maharashtra,Mumbai,"Khindipada-Bhandup West, Mumbai - IITM",2025-07-20 18:00:00,19.1653323,72.922099,CO,14.0,18.0,16.0,4.0,286.0,Poor,2025-07-20,18:00:00
India,Maharashtra,Mumbai,"Malad West, Mumbai - IITM",2025-07-20 18:00:00,19.19709,72.82204,NO2,26.0,56.0,40.0,30.0,50.0,Good,2025-07-20,18:00:00
India,Maharashtra,Mumbai,"Mazgaon, Mumbai - IITM",2025-07-20 18:00:00,18.96702,72.84214,NH3,3.0,4.0,3.0,1.0,1.0,Good,2025-07-20,18:00:00
India,Maharashtra,Mumbai,"Mindspace-Malad West, Mumbai - MPCB",2025-07-20 18:00:00,19.1878657,72.8304069,NH3,5.0,6.0,6.0,1.0,2.0,Good,2025-07-20,18:00:00
India,Maharashtra,Mumbai,"Mulund West, Mumbai - MPCB",2025-07-20 18:00:00,19.175,72.9419,NO2,12.0,14.0,13.0,2.0,16.0,Good,2025-07-20,18:00:00
India,Maharashtra,Mumbai,"Navy Nagar-Colaba, Mumbai - IITM",2025-07-20 18:00:00,18.897756,72.81332,PM10,31.0,94.0,66.0,63.0,66.0,Satisfactory,2025-07-20,18:00:00
India,Maharashtra,Mumbai,"Navy Nagar-Colaba, Mumbai - IITM",2025-07-20 18:00:00,18.897756,72.81332,NH3,3.0,4.0,4.0,1.0,1.0,Good,2025-07-20,18:00:00
India,Maharashtra,Nashik,"MIDC Ambad, Nashik - MPCB",2025-07-20 18:00:00,19.95022,73.73148,CO,10.0,14.0,12.0,4.0,228.0,Poor,2025-07-20,18:00:00
India,Maharashtra,Nashik,"Pandav Nagari, Nashik - MPCB",2025-07-20 18:00:00,19.9591346,73.7788008,OZONE,17.0,27.0,24.0,10.0,24.0,Good,2025-07-20,18:00:00
India,Maharashtra,Navi Mumbai,"Sanpada, Navi Mumbai - MPCB",2025-07-20 18:00:00,19.0575752,73.0151367,CO,20.0,88.0,34.0,68.0,400.0,Very Poor,2025-07-20,18:00:00
India,Maharashtra,Navi Mumbai,"Sector-2E Kalamboli, Navi Mumbai - MPCB",2025-07-20 18:00:00,19.02579,73.10297,PM2.5,22.0,63.0,44.0,41.0,73.0,Satisfactory,2025-07-20,18:00:00
India,Maharashtra,Mumbai,"Worli, Mumbai - MPCB",2025-07-20 18:00:00,18.9936162,72.8128113,NO2,4.0,23.0,12.0,19.0,15.0,Good,2025-07-20,18:00:00
India,Maharashtra,Nagpur,"Mahal, Nagpur - MPCB",2025-07-20 18:00:00,21.14472,79.107595,PM2.5,39.0,139.0,69.0,100.0,128.0, Moderate,2025-07-20,18:00:00
India,Maharashtra,Nagpur,"Mahal, Nagpur - MPCB",2025-07-20 18:00:00,21.14472,79.107595,NH3,1.0,17.0,6.0,16.0,2.0,Good,2025-07-20,18:00:00
India,Maharashtra,Nagpur,"Mahal, Nagpur - MPCB",2025-07-20 18:00:00,21.14472,79.107595,CO,21.0,143.0,30.0,122.0,377.0,Very Poor,2025-07-20,18:00:00
India,Maharashtra,Nagpur,"Ram Nagar, Nagpur - MPCB",2025-07-20 18:00:00,21.143383,79.048912,PM2.5,35.0,103.0,62.0,68.0,104.0, Moderate,2025-07-20,18:00:00
India,Maharashtra,Malegaon,"Mahesh Nagar, Malegaon - MPCB",2025-07-20 18:00:00,20.555712,74.529236,SO2,1.0,5.0,2.0,4.0,2.0,Good,2025-07-20,18:00:00
India,Maharashtra,Malegaon,"Mahesh Nagar, Malegaon - MPCB",2025-07-20 18:00:00,20.555712,74.529236,CO,4.0,44.0,12.0,40.0,228.0,Poor,2025-07-20,18:00:00
India,Maharashtra,Mira-Bhayandar,"Bhayandar West, Mira-Bhayandar - MPCB",2025-07-20 18:00:00,19.296481,72.840923,SO2,2.0,4.0,3.0,2.0,4.0,Good,2025-07-20,18:00:00
India,Maharashtra,Mira-Bhayandar,"Bhayandar West, Mira-Bhayandar - MPCB",2025-07-20 18:00:00,19.296481,72.840923,OZONE,6.0,38.0,32.0,32.0,32.0,Good,2025-07-20,18:00:00
India,Maharashtra,Mumbai,"Borivali East, Mumbai - IITM",2025-07-20 18:00:00,19.23241,72.86895,PM2.5,12.0,44.0,29.0,32.0,48.0,Good,2025-07-20,18:00:00
India,Maharashtra,Mumbai,"Chakala-Andheri East, Mumbai - IITM",2025-07-20 18:00:00,19.11074,72.86084,SO2,1.0,18.0,6.0,17.0,8.0,Good,2025-07-20,18:00:00
India,Maharashtra,Pune,"Revenue Colony-Shivajinagar, Pune - IITM",2025-07-20 18:00:00,18.530085,73.849598,PM2.5,32.0,71.0,49.0,39.0,81.0,Satisfactory,2025-07-20,18:00:00
India,Maharashtra,Pune,"Revenue Colony-Shivajinagar, Pune - IITM",2025-07-20 18:00:00,18.530085,73.849598,OZONE,1.0,27.0,10.0,26.0,10.0,Good,2025-07-20,18:00:00
India,Maharashtra,Pune,"Savitribai Phule Pune University, Pune - MPCB",2025-07-20 18:00:00,18.547056,73.826908,PM2.5,15.0,31.0,23.0,16.0,38.0,Good,2025-07-20,18:00:00
India,Maharashtra,Sangli,"Vijay Nagar, Sangli - MPCB",2025-07-20 18:00:00,16.5038,74.3623,PM2.5,22.0,61.0,41.0,39.0,68.0,Satisfactory,2025-07-20,18:00:00
India,Maharashtra,Sangli,"Vijay Nagar, Sangli - MPCB",2025-07-20 18:00:00,16.5038,74.3623,PM10,14.0,56.0,34.0,42.0,34.0,Good,2025-07-20,18:00:00
India,Maharashtra,Sangli,"Vijay Nagar, Sangli - MPCB",2025-07-20 18:00:00,16.5038,74.3623,CO,13.0,19.0,16.0,6.0,286.0,Poor,2025-07-20,18:00:00
India,Maharashtra,Sangli,"Vijay Nagar, Sangli - MPCB",2025-07-20 18:00:00,16.5038,74.3623,OZONE,9.0,42.0,25.0,33.0,25.0,Good,2025-07-20,18:00:00
India,Maharashtra,Solapur,"Dnyaneshwar Nagar, Solapur - MPCB",2025-07-20 18:00:00,17.6336264,75.9132495,PM2.5,9.0,43.0,25.0,34.0,42.0,Good,2025-07-20,18:00:00
India,Maharashtra,Solapur,"Dnyaneshwar Nagar, Solapur - MPCB",2025-07-20 18:00:00,17.6336264,75.9132495,CO,8.0,33.0,13.0,25.0,243.0,Poor,2025-07-20,18:00:00
India,Maharashtra,Solapur,"Ratandeep Housing Society, Solapur - MPCB",2025-07-20 18:00:00,17.65439,75.90649,NO2,4.0,38.0,13.0,34.0,16.0,Good,2025-07-20,18:00:00
India,Maharashtra,Solapur,"Ratandeep Housing Society, Solapur - MPCB",2025-07-20 18:00:00,17.65439,75.90649,SO2,1.0,2.0,1.0,1.0,1.0,Good,2025-07-20,18:00:00
India,Maharashtra,Thane,"Kasarvadavali, Thane - MPCB",2025-07-20 18:00:00,19.26777,72.97182,PM10,27.0,73.0,49.0,46.0,49.0,Good,2025-07-20,18:00:00
India,Maharashtra,Thane,"Kasarvadavali, Thane - MPCB",2025-07-20 18:00:00,19.26777,72.97182,CO,16.0,34.0,22.0,18.0,330.0,Very Poor,2025-07-20,18:00:00
India,Maharashtra,Ulhasnagar,"Sidhi Vinayak Nagar, Ulhasnagar - MPCB",2025-07-20 18:00:00,19.235581,73.159121,SO2,13.0,23.0,17.0,10.0,21.0,Good,2025-07-20,18:00:00
India,Maharashtra,Virar,"Bolinj, Virar - MPCB",2025-07-20 18:00:00,19.445821,72.7988231,PM10,21.0,61.0,41.0,40.0,41.0,Good,2025-07-20,18:00:00
India,Maharashtra,Virar,"Bolinj, Virar - MPCB",2025-07-20 18:00:00,19.445821,72.7988231,NO2,5.0,28.0,17.0,23.0,21.0,Good,2025-07-20,18:00:00
